Time (seconds)	TX1 (dB)	TX2 (dB)	TX3 (dB)	TX4 (dB)	TX5 (dB)	TX6 (dB)	TX7 (dB)	TX8 (dB)	
0.0000	-61.8856+0.7504i	-81.6763+0.7504i	-76.6105+0.7504i	-90.0285+0.7504i	-62.5299+0.7504i	-81.9235+0.7504i	-56.0054+0.7504i	-89.8623+0.7504i
0.0021	-61.8969+0.7504i	-81.6886+0.7504i	-76.6141+0.7504i	-90.0299+0.7504i	-62.5310+0.7504i	-81.9254+0.7504i	-55.9687+0.7504i	-89.8657+0.7504i
0.0042	-61.9017+0.7504i	-81.7209+0.7504i	-76.6114+0.7504i	-90.0280+0.7504i	-62.5371+0.7504i	-81.9590+0.7504i	-55.9815+0.7504i	-89.8664+0.7504i
0.0063	-61.9061+0.7504i	-81.7308+0.7504i	-76.6147+0.7504i	-90.0300+0.7504i	-62.5266+0.7504i	-81.9429+0.7504i	-55.9656+0.7504i	-89.8669+0.7504i
0.0083	-61.9086+0.7504i	-81.7475+0.7504i	-76.6148+0.7504i	-90.0291+0.7504i	-62.5277+0.7504i	-81.9326+0.7504i	-55.9640+0.7504i	-89.8680+0.7504i
0.0104	-61.9132+0.7504i	-81.7482+0.7504i	-76.6136+0.7504i	-90.0252+0.7504i	-62.5347+0.7504i	-81.9415+0.7504i	-55.9581+0.7504i	-89.8695+0.7504i
0.0125	-61.9162+0.7504i	-81.7282+0.7504i	-76.6177+0.7504i	-90.0227+0.7504i	-62.5281+0.7504i	-81.9698+0.7504i	-55.9618+0.7504i	-89.8721+0.7504i
0.0146	-61.9222+0.7504i	-81.7627+0.7504i	-76.6179+0.7504i	-90.0259+0.7504i	-62.5255+0.7504i	-81.9567+0.7504i	-55.9639+0.7504i	-89.8724+0.7504i
0.0167	-61.9291+0.7504i	-81.7831+0.7504i	-76.6150+0.7504i	-90.0277+0.7504i	-62.5281+0.7504i	-81.9604+0.7504i	-55.9502+0.7504i	-89.8733+0.7504i
0.0187	-61.9314+0.7504i	-81.7884+0.7504i	-76.6172+0.7504i	-90.0269+0.7504i	-62.5358+0.7504i	-81.9654+0.7504i	-55.9548+0.7504i	-89.8750+0.7504i
0.0208	-61.9346+0.7504i	-81.8133+0.7504i	-76.6203+0.7504i	-90.0287+0.7504i	-62.5397+0.7504i	-81.9762+0.7504i	-55.9572+0.7504i	-89.8747+0.7504i
0.0229	-61.9428+0.7504i	-81.8456+0.7504i	-76.6207+0.7504i	-90.0282+0.7504i	-62.5454+0.7504i	-82.0017+0.7504i	-55.9515+0.7504i	-89.8750+0.7504i
0.0250	-61.9386+0.7504i	-81.7568+0.7504i	-76.6261+0.7504i	-90.0299+0.7504i	-62.5455+0.7504i	-81.9813+0.7504i	-55.9446+0.7504i	-89.8735+0.7504i
0.0271	-61.9428+0.7504i	-81.7923+0.7504i	-76.6254+0.7504i	-90.0304+0.7504i	-62.5457+0.7504i	-81.9728+0.7504i	-55.9485+0.7504i	-89.8739+0.7504i
0.0292	-61.9476+0.7504i	-81.8673+0.7504i	-76.6190+0.7504i	-90.0292+0.7504i	-62.5496+0.7504i	-82.0203+0.7504i	-55.9532+0.7504i	-89.8753+0.7504i
0.0313	-61.9527+0.7504i	-81.8527+0.7504i	-76.6201+0.7504i	-90.0290+0.7504i	-62.5434+0.7504i	-82.0100+0.7504i	-55.9489+0.7504i	-89.8746+0.7504i
0.0333	-61.9515+0.7504i	-81.8298+0.7504i	-76.6262+0.7504i	-90.0296+0.7504i	-62.5504+0.7504i	-81.9642+0.7504i	-55.9431+0.7504i	-89.8736+0.7504i
0.0354	-61.9505+0.7504i	-81.8327+0.7504i	-76.6254+0.7504i	-90.0298+0.7504i	-62.5529+0.7504i	-81.9794+0.7504i	-55.9439+0.7504i	-89.8748+0.7504i
0.0375	-61.9672+0.7504i	-81.8759+0.7504i	-76.6258+0.7504i	-90.0292+0.7504i	-62.5518+0.7504i	-81.9896+0.7504i	-55.9397+0.7504i	-89.8763+0.7504i
0.0396	-61.9667+0.7504i	-81.8759+0.7504i	-76.6240+0.7504i	-90.0300+0.7504i	-62.5516+0.7504i	-81.9973+0.7504i	-55.9390+0.7504i	-89.8761+0.7504i
0.0417	-61.9746+0.7504i	-81.9118+0.7504i	-76.6258+0.7504i	-90.0294+0.7504i	-62.5499+0.7504i	-81.9785+0.7504i	-55.9356+0.7504i	-89.8773+0.7504i
